261.32, 4, 1.0, 0.4, 0.4, 3, 1, 1, 1
264.43, 4, 1.0, 0.4, 0.4, 3, 1, 1, 1
267.71, 4, 1.0, 0.4, 0.4, 3, 1, 1, 1
271.01, 4, 1.0, 0.5, 0.5, 3, 1, 1, 1
274.20, 4, 1.0, 0.5, 0.5, 3, 1, 1, 1
277.47, 4, 1.0, 0.5, 0.5, 3, 1, 1, 1
280.70, 4, 1.0, 0.5, 0.5, 3, 1, 1, 1
283.88, 4, 1.0, 0.5, 0.5, 3, 1, 1, 1
287.21, 4, 1.0, 0.6, 0.6, 3, 1, 1, 1
290.45, 4, 1.0, 0.6, 0.6, 3, 1, 1, 1
293.80, 4, 1.0, 0.6, 0.6, 3, 1, 1, 1
296.99, 4, 1.0, 0.6, 0.6, 3, 1, 1, 1
300.25, 4, 1.0, 0.6, 0.6, 3, 1, 1, 1
303.29, 4, 1.0, 0.8, 0.8, 0, 0, 0, 0
306.41, 4, 1.0, 0.8, 0.8, 0, 0, 0, 0
309.64, 4, 1.0, 0.8, 0.8, 0, 0, 0, 0
313.10, 4, 1.0, 0.8, 0.8, 0, 0, 0, 0
316.34, 4, 1.0, 0.8, 0.8, 0, 0, 0, 0
319.70, 4, 1.0, 1.0, 1.0, 0, 0, 0, 0
323.02, 4, 1.0, 1.0, 1.0, 0, 0, 0, 0
326.45, 4, 1.0, 1.0, 1.0, 0, 0, 0, 0
329.72, 4, 1.0, 1.0, 1.0, 0, 0, 0, 0
332.80, 4, 1.0, 1.0, 1.0, 0, 0, 0, 0
335.80, 8, 0.0, 0.0, 0.0, 249, 84, 83, 82
338.81, 8, 0.0, 0.0, 0.0, 249, 86, 83, 80
341.82, 8, 0.0, 0.0, 0.0, 248, 86, 85, 77
344.82, 8, 0.0, 0.0, 0.0, 249, 83, 83, 83
347.83, 8, 0.0, 0.0, 0.0, 247, 80, 84, 83
350.96, 8, 0.0, 0.2, 0.2, 12, 4, 4, 4
354.06, 8, 0.0, 0.2, 0.2, 12, 4, 4, 4
357.20, 8, 0.0, 0.2, 0.2, 12, 4, 4, 4
360.34, 8, 0.0, 0.2, 0.2, 12, 4, 4, 4
363.41, 8, 0.0, 0.2, 0.2, 12, 4, 4, 4
366.60, 8, 0.0, 0.4, 0.4, 6, 2, 2, 2
369.76, 8, 0.0, 0.4, 0.4, 6, 2, 2, 2
373.06, 8, 0.0, 0.4, 0.4, 6, 2, 2, 2
376.29, 8, 0.0, 0.4, 0.4, 6, 2, 2, 2
379.45, 8, 0.0, 0.4, 0.4, 6, 2, 2, 2
382.54, 8, 0.0, 0.5, 0.5, 6, 2, 2, 2
385.62, 8, 0.0, 0.5, 0.5, 6, 2, 2, 2
388.74, 8, 0.0, 0.5, 0.5, 6, 2, 2, 2
391.79, 8, 0.0, 0.5, 0.5, 6, 2, 2, 2
394.97, 8, 0.0, 0.5, 0.5, 6, 2, 2, 2
398.04, 8, 0.0, 0.6, 0.6, 6, 2, 2, 2
401.10, 8, 0.0, 0.6, 0.6, 6, 2, 2, 2
404.35, 8, 0.0, 0.6, 0.6, 5, 2, 2, 1
407.45, 8, 0.0, 0.6, 0.6, 6, 2, 2, 2
410.59, 8, 0.0, 0.6, 0.6, 4, 1, 2, 1
413.68, 8, 0.0, 0.8, 0.8, 3, 1, 1, 1
416.87, 8, 0.0, 0.8, 0.8, 3, 1, 1, 1
420.11, 8, 0.0, 0.8, 0.8, 3, 1, 1, 1
423.39, 8, 0.0, 0.8, 0.8, 3, 1, 1, 1
426.51, 8, 0.0, 0.8, 0.8, 3, 1, 1, 1
429.89, 8, 0.0, 1.0, 1.0, 3, 1, 1, 1
432.97, 8, 0.0, 1.0, 1.0, 3, 1, 1, 1
436.03, 8, 0.0, 1.0, 1.0, 3, 1, 1, 1
